,LIR,LPeak,errLPeak,errLIR
375,15771862318.887276,139.60780590776218,5.831070453386737,846523070.014636
376,23769100180.33013,145.7123289667332,5.5840034077095195,1166552773.9352276
377,55995472224.77658,113.63951461319749,5.093083033436848,2888809607.513898
378,183561920985.9979,114.60852383561152,5.389453602972169,11011997828.351805
379,48209021829.95758,115.00077052057306,5.935163891051019,2715316235.7109966
380,33634984901.323444,137.04551372538282,5.425062215896747,1721313929.4251447
381,52270131973.2789,101.50947609911587,4.9697707427582,3257022051.832123
382,12797699004.650078,154.2993281672888,7.930584450205084,850165185.9386661
383,122154222590.59976,127.10909992246211,6.130754323537628,7313600662.991968
384,9626809273.428291,128.0780984632884,5.814090304883161,466450634.0689972
385,10929675590.311695,143.63607635846574,5.833096916606486,578290539.9026569
386,9674287991.916794,155.3096781608484,8.411364780291594,534592294.2734679
387,57791383741.41194,134.44096982277642,7.136840365693425,3757176412.202059
388,118719736112.62402,93.72322976709319,4.9676733195149945,7000333841.579168
389,13605267856.236378,145.6070917896342,6.987146602208833,732397864.1722965
390,154506753910.42743,98.48468434042512,4.995442208884752,8276609252.687348
391,41465587372.93692,125.09789105757376,5.944259962573623,2134855867.9463162
392,217597809667.19525,101.86850957277541,4.79909389296865,11561914014.953074
393,34644189154.63686,131.99836672400102,7.01670829420165,2212422401.8363137
394,37732559611.517456,96.78268561838608,5.557966454943095,2078286116.8109357
395,57598139894.844696,119.62370678246921,5.834432968726916,3207307690.592028
396,31401051712.57118,118.51614814814823,5.938847953099007,1586255989.7314048
397,99582463324.70119,129.1446578243857,5.67718048852952,5061494004.280585
398,22439272097.023422,134.21721611819933,5.228456687222145,1110910059.563216
399,246381655365.17105,111.28719570689944,5.308400357514545,14009979592.562223
400,144141112846.36285,122.40166665442634,6.13395364801092,8758970017.557758
401,52554579461.5547,115.89321848858329,5.826357229838211,3052012323.7019815
402,10650788599.718359,159.99321615195862,12.296912759288178,1043926663.9405316
403,8973317447.854668,141.91722654132278,7.083347094024295,531486417.82693285
404,32678809383.856575,138.69540492933336,8.906142218767702,1930783515.118232
405,195775488.384561,144.04657983365178,6.148037743701065,10212758.917109681
406,23199666766.850258,123.6781631941267,6.06471256898783,1221202164.2726886
407,269289348401.5274,100.874600276402,4.147081223612588,14181629770.719963
408,18622622728.34471,131.58912841513538,5.6228986673492205,1066868373.4370955
409,31436655604.78997,136.44265064252153,6.6625601540794,1837014619.335456
410,78567302984.6836,132.62791555146455,6.09009497105844,5074475083.135275
411,23941753417.991653,126.39191884465384,6.024026864628271,1224194511.4722707
412,14045219669.46243,124.74956024900516,5.59050156807036,785527805.9737108
413,28065035701.05803,118.51614814814823,6.506338599126605,1737463906.0762045
414,12279503487.302086,112.18511812207335,5.78334083794523,721104097.9157724
415,32379810786.443695,128.24103641348816,6.3590627754999485,2121315037.991807
416,9957523481.833881,129.3933143725205,6.176543283883238,510515324.6850756
417,25759836338.52485,95.88510433466877,6.392252407791901,2752449350.10713
418,76551468331.58789,122.58773166479939,6.7593461164131075,4851136253.815538
419,39529540449.033066,122.21616561110545,5.308797568066577,2211929918.377306
420,13745056239.026869,137.98346924976906,8.410037332666866,1062374970.8232315
421,96171088488.41705,101.25456920381941,4.9570877628451635,5261302955.793048
422,58827622215.79081,100.7485768978894,5.729598324554427,3146782660.0827312
423,78097266970.08072,136.62758128820562,12.11436615493976,7697474409.955635
424,9480568887.52499,136.16619143715403,7.1011461363009545,479127395.7345928
425,97646214115.9255,107.95026415957967,5.9894252812719495,5636313378.952167
426,16755826376.189884,132.84639726649792,5.613296667184358,1062884873.6003373
427,26290856913.35385,126.70966433938612,6.672403077177333,1481359210.160572
428,18126537757.27974,126.31273131481568,6.816804406277464,1090957278.694815
429,21353605945.47578,138.219967655881,7.181227014490685,1347027365.8409283
430,30959130788.20169,128.36351219862863,5.507023492910413,1841404656.420971
431,10351075219.906742,100.49747243801706,4.769862907512964,594087155.151028
432,194610910696.45883,100.0982984950921,5.0829164286485184,10496944627.561361
433,74500551944.94861,127.2695801801665,5.737336888941727,4496772651.128628
434,25986298697.87967,112.65527023160148,6.960110301004269,1331618068.2164285
435,5423044215.345522,137.98346924976906,6.519645538766211,348145571.4543742
436,53759798180.690186,117.37763723480941,5.842760738726571,3226908054.1049004
437,14366956571.935162,123.8300918094664,6.256614052175352,864520645.6207191
438,30441630631.44953,122.64366436274602,5.931933822192344,1685342789.673532
439,674842894324.3635,83.79041921185156,5.208425233956355,50310433007.20286
440,33157255627.617783,118.099597744725,5.984414000877717,1810285354.8265064
441,20333430312.829437,127.34997236450342,5.672377650967618,1282530415.9373417
442,16791961189.678074,124.2115514084631,6.5001109885352895,1343220901.0033703
443,22302951578.87004,141.86729467845174,7.619822090664267,1725057941.5109942
444,553412094962.9827,93.16022575037414,4.217510368653265,32909587084.830013
